id,user_id,name,description,visibility,questions,created_at,created_by,updated_at,updated_by
1,99,Mathematics,A quiz about Mathematics,public,"[{""index"": 1, ""type"": ""multiple_choice"", ""question"": ""Who is a famous Mathematics artist?"", ""choices"": [{""answer"": ""Picasso"", ""correct"": true}, {""answer"": ""Newton"", ""correct"": false}], ""explanation"": ""Picasso is an artist.""}]",2024-07-12 10:47:22,99,2024-07-12 10:47:22,99
2,29,Music,A quiz about Music,public,"[{""index"": 1, ""type"": ""multiple_choice"", ""question"": ""Who is a famous Music artist?"", ""choices"": [{""answer"": ""Picasso"", ""correct"": true}, {""answer"": ""Newton"", ""correct"": false}], ""explanation"": ""Picasso is an artist.""}]",2024-10-31 10:47:22,29,2024-10-31 10:47:22,29
3,91,ReactJS,A quiz about ReactJS,public,"[{""index"": 1, ""type"": ""multiple_choice"", ""question"": ""What is ReactJS?"", ""choices"": [{""answer"": ""A framework"", ""correct"": true}, {""answer"": ""A database"", ""correct"": false}], ""explanation"": ""ReactJS is a technology.""}, {""index"": 2, ""type"": ""true_false"", ""question"": ""Is ReactJS open-source?"", ""answer"": true, ""explanation"": ""ReactJS is open-source.""}]",2024-07-03 10:47:22,91,2024-07-03 10:47:22,91
4,99,History,A quiz about History,public,"[{""index"": 1, ""type"": ""multiple_choice"", ""question"": ""Who discovered gravity?"", ""choices"": [{""answer"": ""Newton"", ""correct"": true}, {""answer"": ""Einstein"", ""correct"": false}], ""explanation"": ""Isaac Newton discovered gravity.""}, {""index"": 2, ""type"": ""true_false"", ""question"": ""Is the Earth flat?"", ""answer"": false, ""explanation"": ""The Earth is round.""}]",2025-03-14 10:47:22,99,2025-03-14 10:47:22,99
5,76,Mathematics,A quiz about Mathematics,private,"[{""index"": 1, ""type"": ""multiple_choice"", ""question"": ""Who is a famous Mathematics artist?"", ""choices"": [{""answer"": ""Picasso"", ""correct"": true}, {""answer"": ""Newton"", ""correct"": false}], ""explanation"": ""Picasso is an artist.""}]",2024-07-29 10:47:22,76,2024-07-29 10:47:22,76
6,34,Movies,A quiz about Movies,private,"[{""index"": 1, ""type"": ""multiple_choice"", ""question"": ""Who is a famous Movies artist?"", ""choices"": [{""answer"": ""Picasso"", ""correct"": true}, {""answer"": ""Newton"", ""correct"": false}], ""explanation"": ""Picasso is an artist.""}]",2024-05-15 10:47:22,34,2024-05-15 10:47:22,34
7,78,Football,A quiz about Football,public,"[{""index"": 1, ""type"": ""multiple_choice"", ""question"": ""Who is a famous Football artist?"", ""choices"": [{""answer"": ""Picasso"", ""correct"": true}, {""answer"": ""Newton"", ""correct"": false}], ""explanation"": ""Picasso is an artist.""}]",2024-09-04 10:47:22,78,2024-09-04 10:47:22,78
8,7,Geography,A quiz about Geography,public,"[{""index"": 1, ""type"": ""multiple_choice"", ""question"": ""Who discovered gravity?"", ""choices"": [{""answer"": ""Newton"", ""correct"": true}, {""answer"": ""Einstein"", ""correct"": false}], ""explanation"": ""Isaac Newton discovered gravity.""}, {""index"": 2, ""type"": ""true_false"", ""question"": ""Is the Earth flat?"", ""answer"": false, ""explanation"": ""The Earth is round.""}]",2024-10-09 10:47:22,7,2024-10-09 10:47:22,7
9,37,Geography,A quiz about Geography,private,"[{""index"": 1, ""type"": ""multiple_choice"", ""question"": ""Who discovered gravity?"", ""choices"": [{""answer"": ""Newton"", ""correct"": true}, {""answer"": ""Einstein"", ""correct"": false}], ""explanation"": ""Isaac Newton discovered gravity.""}, {""index"": 2, ""type"": ""true_false"", ""question"": ""Is the Earth flat?"", ""answer"": false, ""explanation"": ""The Earth is round.""}]",2025-01-14 10:47:22,37,2025-01-14 10:47:22,37
10,63,Science,A quiz about Science,private,"[{""index"": 1, ""type"": ""multiple_choice"", ""question"": ""Who discovered gravity?"", ""choices"": [{""answer"": ""Newton"", ""correct"": true}, {""answer"": ""Einstein"", ""correct"": false}], ""explanation"": ""Isaac Newton discovered gravity.""}, {""index"": 2, ""type"": ""true_false"", ""question"": ""Is the Earth flat?"", ""answer"": false, ""explanation"": ""The Earth is round.""}]",2024-11-14 10:47:22,63,2024-11-14 10:47:22,63
